,Title,Rating,Year,Genre,Rating_Score,Duration,Image_Link
30,THE BIG LEBOWSKI,D,1998, Comedy,7.40, 1h 57m,https://resizing.flixster.com/rAVUOBwKOilUilVMoTtRfZOV_Xc=/fit-in/180x240/v2/https://resizing.flixster.com/zjBrvj8q2AeZv6mCq9erG6Ry36w=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q1MWZkMTczLTBjNWItNDcwOS04NDc3LTJmNjYyYjc0YTcxZi5qcGc=
31,THE BIG SICK,D,2017, Romance/Comedy,8.30, 2h 0m,https://resizing.flixster.com/4JnVSHyqHCyFrVyaiD8XUYEtzNc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/171221/171221_aa.jpg
32,BIRDMAN OR (THE UNEXPECTED VIRTUE OF IGNORANCE),D,2014, Comedy/Drama,8.50, 1h 59m,https://resizing.flixster.com/7MO1tqpPHVkROFbzS4d_s1qct34=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10726435_p_v8_am.jpg
33,BLACK HAWK DOWN,D,2001, War/Drama,7.00, 2h 24m,https://resizing.flixster.com/5O6sdaaB4KADcpzs1ZFNbHIhtts=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28873_p_v8_aj.jpg
34,BLACK ORPHEUS,D,1959, Drama,Fresh, 1h 40m,https://resizing.flixster.com/5dtX76Vfa2fKHjHwiC3Od-pw_Ks=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6910_p_v8_aa.jpg
35,BLACK PANTHER,D,2018, Action/Adventure,8.30, 2h 14m,https://resizing.flixster.com/AFkjaz-8Uf7x02u48NfpAXa2mA4=/fit-in/180x240/v2/https://resizing.flixster.com/KBlur3LaA-y1U1yt6_Y2uO25ozA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzMxOGI1YzBhLWMyMjEtNGUxMS1iM2Q0LWQ4OGMyYzQyZjQyYS53ZWJw
36,BLADE RUNNER,D,1982, Sci-fi/Mystery & thriller,8.50, 2h 2m,https://resizing.flixster.com/ucv70AAxCdDH3mJY59VFlNx3rTc=/fit-in/180x240/v2/https://resizing.flixster.com/M0OhldQuouhJi1khB3dPcj3_7ZU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FkZDM0MDZiLWYxMmEtNDFjNS1iNmMzLTQ3NzIzODE1NDc3NS53ZWJw
37,BLAZING SADDLES,D,1974, Comedy/Western,Fresh, 1h 33m,https://resizing.flixster.com/f5hrAOi_AAUQ-JyKiSSNv143qbA=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1036_p_v12_an.jpg
38,BOOGIE NIGHTS,D,1997, Drama,Fresh, 2h 32m,https://resizing.flixster.com/JME9_RsZeJ1ijkmV7d8MhzWQRc8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p19875_p_v12_ag.jpg
39,BOYS DON'T CRY,D,1999, Biography/Drama,7.90, 1h 59m,https://resizing.flixster.com/dy2aouoajrRlafNstA6nHgqVU5Q=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23904_p_v8_ar.jpg
40,BOYZ N THE HOOD,D,1991, Drama,8.40, 1h 52m,https://resizing.flixster.com/NoGA4lrQ_FpIEnHcpIBoSHn3cbY=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13227_p_v8_al.jpg
41,THE BREAKFAST CLUB,D,1985, Comedy/Drama,7.80, 1h 32m,https://resizing.flixster.com/KRhKL9IrrHBEj14aIkTgocb6G08=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8670_p_v8_ab.jpg
42,BREATHLESS,D,1959, Crime/Drama,Fresh, 1h 30m,https://resizing.flixster.com/1oSe72u-Guj5vCfc61ooJtcZIMo=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6906_p_v8_ae.jpg
43,BRIDESMAIDS,D,2011, Comedy,7.60, 2h 5m,https://resizing.flixster.com/5xbnX8MjyCaVfCO3ksCajNYh0Cw=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8414185_p_v8_ae.jpg
44,THE BRIDGE ON THE RIVER KWAI,D,1957, War/Drama,9.40, 2h 41m,https://resizing.flixster.com/lW31BtoljSy_FDW94QhSNKNG-JE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/10025/10025_aa.jpg
45,BRIDGET JONES'S DIARY,D,2001, Romance/Comedy,Fresh, 1h 32m,https://resizing.flixster.com/Ss3vyQbUoa5bOl5ouVYmneVKZoM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p27484_p_v11_aa.jpg
46,BROADCAST NEWS,D,1987, Romance/Comedy,8.40, 2h 12m,https://resizing.flixster.com/48VfZUl9_Kf_CqrgOUgP6Fjru74=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10500_p_v8_ad.jpg
