,Title,Genre,Image_Link
52,12 Angry Men,Crime,https://www.metacritic.com/a/img/resize/3a57cda6490be352cf378c2a99a073ad7e94ea8a/catalog/provider/2/2/2-1cae6130894eccd56830e768b5309828.jpg?auto=webp&fit=cover&height=132&width=88
53,Dumbo,Animation,https://www.metacritic.com/a/img/resize/30352f5130d2ec69b3e349633bcf4c1ed3abb74b/catalog/provider/2/2/2-9f8a39870181350540b7cd9f091740fd.jpg?auto=webp&fit=cover&height=132&width=88
54,Roma,Drama,https://www.metacritic.com/a/img/resize/f2e3b442a846a5e0ae37630e4a70a90fc8f1b33d/catalog/provider/2/2/2-fa3f31a9ee082f5962bf3d1c401bafb9.jpg?auto=webp&fit=cover&height=132&width=88
55,Man with a Movie Camera,Documentary,https://www.metacritic.com/a/img/resize/91f900623ae3f96ffa6251490cd6d2965371563f/catalog/provider/2/2/2-c8605699ae928cf9d2c64053def0d943.jpg?auto=webp&fit=cover&height=132&width=88
56,Parasite,Drama,https://www.metacritic.com/a/img/resize/7862e358c60d7e99e4ba408cbd21714f54ec933a/catalog/provider/2/2/2-8a8e64076621c48ff9f12f5bf72085e1.jpg?auto=webp&fit=cover&height=132&width=88
57,Spirited Away,Animation,https://www.metacritic.com/a/img/resize/d6e9a49f935750a768bf3144d4c85cd2860863d6/catalog/provider/2/2/2-266bf5df367806dda7c84c37cc627678.jpg?auto=webp&fit=cover&height=132&width=88
58,Toy Story,Animation,https://www.metacritic.com/a/img/resize/af7fdad7263a2f5a5c8c16856838ab800a8da4eb/catalog/provider/2/2/2-f0abf179b2f667edf7d06db04f9114fd.jpg?auto=webp&fit=cover&height=132&width=88
59,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Documentary,https://www.metacritic.com/a/img/resize/487d1f8f791cfbdb5e6ddb91afa09045acfffa04/catalog/provider/2/2/2-740f914f4d4a98d2da414f4884bfc1f9.jpg?auto=webp&fit=cover&height=132&width=88
60,The Shop Around the Corner,Comedy,https://www.metacritic.com/a/img/resize/a35a843ecab56d758e81f8a49260fdcf219ca894/catalog/provider/2/2/2-38769bbd4b3cad291947602d2a094cea.jpg?auto=webp&fit=cover&height=132&width=88
61,Rosemary's Baby,Drama,https://www.metacritic.com/a/img/resize/6e838a6d9b14072ae84367cf388560210b78d9c8/catalog/provider/2/2/2-bc61b9c63d20415a76899522b63f9fc3.jpg?auto=webp&fit=cover&height=132&width=88
62,12 Years a Slave,Biography,https://www.metacritic.com/a/img/resize/1d9cf6e9e900ee195755a29666f4f3c1fe3ac81b/catalog/provider/2/2/2-5e7d6563a309d1abafbfe6611f28f60b.jpg?auto=webp&fit=cover&height=132&width=88
63,Manchester by the Sea,Drama,https://www.metacritic.com/a/img/resize/66ae527641071323bac4e2a896f96358e9e52d23/catalog/provider/2/2/2-a4cab104cb47bc24a502c5a3de403cad.jpg?auto=webp&fit=cover&height=132&width=88
64,The Battle of Algiers,Drama,https://www.metacritic.com/a/img/resize/46e3217fec224b1f2cb5ae9f536082a348e63154/catalog/provider/2/2/2-0d8b32ee606e3287c8791bffe26b9f6d.jpg?auto=webp&fit=cover&height=132&width=88
65,Killer of Sheep,Drama,https://www.metacritic.com/a/img/resize/da7a8df074d3699f6deb77ca9d11429787e0b25f/catalog/provider/2/2/2-4138c15c2a033aa4e1aef2eafa3a48a0.jpg?auto=webp&fit=cover&height=132&width=88
