,Title,Rating,Year,Genre,Rating_Score,Duration,Image_Link
26,LEAVE THE WORLD BEHIND,R,2023, Mystery & thriller/Drama,['6.80'], 2h 20m,https://resizing.flixster.com/lS4ahcCMKnhNf2u7ZDMV0a66jLA=/206x305/v2/https://resizing.flixster.com/gjBl91cQPoUL3N1PFDNkmJgbMbY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzNjNDA5NzM2LTAyNTItNDUyMC04MjFkLWFhMmMyYjk4OGQ1Ni5qcGc=
27,ORION AND THE DARK,R,2024, Kids & family/Comedy,['7.00'], 1h 32m,https://resizing.flixster.com/-ef7UHP__75HHGbLyNpmO4NfTSQ=/206x305/v2/https://resizing.flixster.com/3g9tZnA26NUFtH2uaUW1V1LKPPU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzVkMTEzYTBiLTQ3NTYtNDkwMy1iOGQ3LTZmMTBkOWRlOWRlOC5qcGc=
28,CONCRETE UTOPIA,R,2023, Action/Adventure,['Fresh'], 2h 10m,https://resizing.flixster.com/rYZpap88WVRZQXj5RZUubsXKkAY=/206x305/v2/https://resizing.flixster.com/_JUbDJmcSO6Yex6I8y0fH7TOHVg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzE1MzBjYmE1LTgwYTUtNDdmNi1hNjE5LTgyZDZkYTljYzI2NS5qcGc=
29,WHAT DOESN'T FLOAT,R,2023, Drama/Comedy,['Fresh'], 1h 9m,https://resizing.flixster.com/TEjzwKGUJ99moNHN4-nr09e5s2I=/206x305/v2/https://resizing.flixster.com/0gJlP2Ddvw4rLBjnIeLyZPL4PMw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q4ZjAxMjgxLTZhMWMtNDUxOS05MjZmLTE5YzYzNjBiNzZhMy5qcGc=
30,DEEP FEAR,R,2023, Action/Mystery & thriller,['Fresh'], 1h 29m,https://resizing.flixster.com/Abktbo2nHI9YRWGkpoRaF0ERVjM=/206x305/v2/https://resizing.flixster.com/GqeVTRuoB-T9TYRl5iZalzFDszE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JlZjIxZDExLWZhZjgtNDhlOS05MmJiLWU1Mjg4MTBjMzdjZS5qcGc=
31,THE NEST,R,2020, Mystery & thriller/Drama,['7.50'], 1h 47m,https://resizing.flixster.com/MkuE8v0S8TTQ6f0JYm1rXAZr7-c=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18178346_p_v8_aa.jpg
32,BARBIE,R,2023, Comedy,['7.90'], 1h 54m,https://resizing.flixster.com/J4xdPjUuyUwx3WCQiA9feOp4_-4=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13472534_p_v12_ah.jpg
33,MAY DECEMBER,R,2023, Drama/Romance,['7.80'], 1h 53m,https://resizing.flixster.com/1C2NtQrEw5uUdcw9uF6vgg6EgpU=/206x305/v2/https://resizing.flixster.com/23HufW0cspEzLY5W9lL8vE8WqX0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2VmNjcxNjM4LTU3YTktNDI2Yi04ZTY5LWYwZThlNDBiNzgyMS5qcGc=
34,MISSION: IMPOSSIBLE - DEAD RECKONING PART ONE,R,2023, Action/Adventure,['8.00'], 2h 43m,https://resizing.flixster.com/dWRhX5jvPYZoAnbDAsoAT-ltops=/206x305/v2/https://resizing.flixster.com/sjrE11CDEb_jyGqLlmWRMkkwAkI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzdkOGMxYmM5LWU1M2UtNDA0MC1hOTg2LTU3YTg4YjgyN2M1Zi5qcGc=
35,THE MARVELS,R,2023, Action/Adventure,['5.90'], 1h 45m,https://resizing.flixster.com/t9xW3hzc3NC_2ICHlzvLe7kvASc=/206x305/v2/https://resizing.flixster.com/Ht14zArBc90eTF1dMAaQynKk2Ic=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2NhNjNhOGQ1LWE5Y2YtNDFlZS1iNDk0LWQyZGMyZTlhYmVmOS5qcGc=
