,Title,Image_Link,Refrence_Link
57,CITY OF GOD,https://resizing.flixster.com/WpL7huyi8vfvqpF0jgjcR37lFXk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p30586_p_v8_an.jpg,https://www.rottentomatoes.com/m/city_of_god
58,CINEMA PARADISO,https://resizing.flixster.com/-hImwBgHk5whcmoeihfDUy66DgY=/fit-in/180x240/v2/https://resizing.flixster.com/sobdOtO-edgkZ2sS3N2FeKYsdQE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzY3ODc5MmJmLTc5YmUtNDlmZi05NjRmLTZiMDQyZjRlNWMxZS5qcGc=,https://www.rottentomatoes.com/m/cinema_paradiso
59,CITIZEN KANE,https://resizing.flixster.com/ZWfL1hfCrUAyemRB5Y38afNfX5c=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1485_p_v8_aa.jpg,https://www.rottentomatoes.com/m/citizen_kane
60,CITY LIGHTS,https://resizing.flixster.com/rud5yjLBpJOLOINNoPMNFPfIwvw=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p6958_p_v8_aa.jpg,https://www.rottentomatoes.com/m/city_lights
61,CLERKS,https://resizing.flixster.com/Wt7TSpoLwZPrpyyEoLYpg4xiCW4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15365_p_v8_aa.jpg,https://www.rottentomatoes.com/m/clerks
62,A CLOCKWORK ORANGE,https://resizing.flixster.com/jsMWU_HFIJsgYwL6OelSRq2te9Q=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1587_p_v8_an.jpg,https://www.rottentomatoes.com/m/clockwork_orange
63,CLUELESS,https://resizing.flixster.com/F4TAnO9gp7RMR_y7D8YECGEKNXQ=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16942_p_v12_ax.jpg,https://www.rottentomatoes.com/m/clueless
64,COCO,https://resizing.flixster.com/mfFY4V32njLt83FSGDXFf7sB6B8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/172117/172117_ac.jpg,https://www.rottentomatoes.com/m/coco_2017
65,CRAZY RICH ASIANS,https://resizing.flixster.com/SvNQ5vOpGQ1KlG39syy1jZWlwoI=/fit-in/180x240/v2/https://resizing.flixster.com/VZsEydVSIF7G1hUPkN8ytnh_tlo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Y3NjA2YjlmLTQ2MzUtNGQwYS05MWQyLTAxOWM3NjExZTdmNS5qcGc=,https://www.rottentomatoes.com/m/crazy_rich_asians
66,CREED,https://resizing.flixster.com/ZxRpJT31pMDIVijox6vcoVMNWYI=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11491087_p_v8_ad.jpg,https://www.rottentomatoes.com/m/creed_2015
67,"CROUCHING TIGER, HIDDEN DRAGON",https://resizing.flixster.com/Ia5aau_-R0P169VtZVZ6CBRKkFY=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25570_p_v8_av.jpg,https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon
68,THE DARK KNIGHT,https://resizing.flixster.com/5ftl4iDlcy3_Ka2cqlzpjs6kv50=/fit-in/180x240/v2/https://resizing.flixster.com/Wg25mLoPWxjcxXzNyaSF4VGgGE4=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZiNjZiNWFkLWVhNzEtNDRhMC1iNGIwLTFmY2FkNzllNTJlMi5qcGc=,https://www.rottentomatoes.com/m/the_dark_knight
69,DAWN OF THE DEAD,https://resizing.flixster.com/uVkxCW-TBO7oyjZUVfkgRYGcon8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11744_p_v8_aa.jpg,https://www.rottentomatoes.com/m/1005339-dawn_of_the_dead
70,THE DAY THE EARTH STOOD STILL,https://resizing.flixster.com/Gb8u-V3MDTYWL4-jYf-WAZGvhYc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p5540_p_v8_aa.jpg,https://www.rottentomatoes.com/m/1005371-day_the_earth_stood_still
71,DAZED AND CONFUSED,https://resizing.flixster.com/4bneNJFr8vOWxY9NRfXwfwBHwX4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14845_p_v8_ai.jpg,https://www.rottentomatoes.com/m/dazed_and_confused
72,DEAD POETS SOCIETY,https://resizing.flixster.com/9LgCsmSUJDm4ibh2ZDa-989lJA0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11671_p_v8_ad.jpg,https://www.rottentomatoes.com/m/dead_poets_society
73,DIE HARD,https://resizing.flixster.com/2Ofo1mfJUkL-_l4EDl3NEy2Ji0o=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10255_p_v8_aw.jpg,https://www.rottentomatoes.com/m/die_hard
74,DO THE RIGHT THING,https://resizing.flixster.com/H5JR14GbU-Wy0rS5AytQ4y7uHq8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11644_p_v8_ab.jpg,https://www.rottentomatoes.com/m/do_the_right_thing
75,DOCTOR ZHIVAGO,https://resizing.flixster.com/t4dyeMNxOLBcp1w-hVONJV-On_E=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p378_p_v8_af.jpg,https://www.rottentomatoes.com/m/1006037-doctor_zhivago
76,DOG DAY AFTERNOON,https://resizing.flixster.com/LAHASdxIJ97Wxfo9lV9Ad2YD49M=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p617_p_v8_aa.jpg,https://www.rottentomatoes.com/m/dog_day_afternoon
77,DON'T LOOK NOW,https://resizing.flixster.com/QFN_1qlqZZu5QTXzTrUQIbC4c8M=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1785_p_v12_ai.jpg,https://www.rottentomatoes.com/m/dont_look_now
78,DOUBLE INDEMNITY,https://resizing.flixster.com/T19FHKBaY1WL0cxUXivG3drNEk0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p2033_p_v8_ah.jpg,https://www.rottentomatoes.com/m/double_indemnity
79,DR. STRANGELOVE OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,https://resizing.flixster.com/8N9vcOffBrqT47MzfxjqiMVir7g=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1816_p_v8_aa.jpg,https://www.rottentomatoes.com/m/dr_strangelove
80,DRACULA,https://resizing.flixster.com/TN2jnEvOdlefNF7Tlkpq9f0_5-k=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p686_p_v8_ab.jpg,https://www.rottentomatoes.com/m/1006234-dracula
81,DRIVE,https://resizing.flixster.com/O9hLGhrO14vIJyap_V8WMqY3SDo=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8609718_p_v12_ar.jpg,https://www.rottentomatoes.com/m/drive_2011
82,DRUNKEN MASTER II,https://resizing.flixster.com/F3Hum6gwL4YlYmMYPf-MUNldcT8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25808_p_v8_af.jpg,https://www.rottentomatoes.com/m/legend_of_drunken_master
83,DUCK SOUP,https://resizing.flixster.com/fCi8AmJeYhzzN7bNWUUfkBapvUA=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4226_p_v8_aa.jpg,https://www.rottentomatoes.com/m/duck_soup
84,E.T. THE EXTRA-TERRESTRIAL,https://resizing.flixster.com/RtSEops51GUU2pzqHPzToZ_v1Xc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10998_p_v8_ao.jpg,https://www.rottentomatoes.com/m/et_the_extraterrestrial
